idea_id,design_id,step,score,psnr_mean,ssim_mean,bit_acc_mean,bit_acc_clean_mean,bit_acc_clean_min
baseline,baseline,30000,27.26715184149457,27.33105256822374,0.9176867074436612,0.9988309867216116,1.0,1.0
idea001,design001,30000,2.720425562360664,4.517589463127984,0.041237786412239075,0.8010926053113554,0.9999119543650793,0.9997098214285715
idea001,design002,30000,16.358498189321228,20.583786010742188,0.45415856771998936,0.8973636866605618,1.0,1.0
idea001,design003,30000,27.727782932136762,27.768888473510742,0.9011553327242533,0.9992598634004888,0.999998759920635,0.9999888392857142
idea002,design001,30000,27.44002650119737,27.444435119628906,0.9253946741422018,0.999919681013431,1.0,1.0
idea002,design002,30000,27.4651128304577,27.604885737101238,0.9176324605941772,0.9974683302808299,1.0,1.0
idea002,design003,30000,-0.009792056410347897,11.121569421556261,0.4389579759703742,0.49955977182539685,0.4995597718253968,0.4948214285714286
idea003,design001,30000,27.84537908535482,27.880341211954754,0.9069674942228529,0.9993729967948717,0.9999987599206348,0.9999888392857142
idea003,design002,30000,27.55307919964781,27.592955695258247,0.8952760034137301,0.99927741529304,0.9999875992063492,0.9999553571428571
idea003,design003,30000,28.162522668951155,28.484879599677193,0.9453514681922065,0.9943416132478634,0.9983593750000002,0.9949441964285715
idea004,design001,30000,27.33588691974102,27.401337305704754,0.9192276000976562,0.9988057081807079,0.9999975198412699,0.9999888392857142
idea004,design002,30000,-0.009792056410347897,11.121569421556261,0.4389579759703742,0.49955977182539685,0.4995597718253968,0.4948214285714286
idea004,design003,30000,-0.009792056410347897,11.121569421556261,0.4389579759703742,0.49955977182539685,0.4995597718253968,0.4948214285714286
idea005,design001,30000,29.56967296839214,29.66009733412001,0.8230251471201578,0.9984756562881564,1.0,1.0
idea005,design002,30000,27.058792430404388,27.08692529466417,0.8999354441960653,0.9994806929181932,0.9999987599206348,0.9999888392857142
idea005,design003,30000,25.556885771256365,25.582636303371853,0.901721821890937,0.9994967185592187,0.9999069940476191,0.999765625
idea005,design004,30000,25.625042180465112,25.627472135755752,0.8896411326196458,0.999952590811966,1.0,1.0
